,boat_name,activity,time
0,C-Phase,Weighed a 12.2 lb dolphin.,Saturday @ 5:16 PM
1,High Time,Weighed a 32.7 lb dolphin.,Saturday @ 4:51 PM
2,Islander,Weighed a 429.8 lb blue marlin.,Saturday @ 3:45 PM
3,Islander,Hooked up,Saturday @11:05 AM
4,Fender Bender,Weighed a 514.3 lb blue marlin.,Saturday @ 1:48 PM
5,Fender Bender,Boated a blue marlin.,Saturday @ 1:48 PM
6,Fender Bender,Hooked up,Saturday @ 1:48 PM
7,Island Girl 35,Released a blue marlin.,Saturday @ 1:21 PM
8,Fender Bender,Released a blue marlin.,Saturday @ 1:00 PM
9,Hammer Time,Released a white marlin.,Saturday @12:55 PM
10,Tail Gunner,Released a sailfish.,Saturday @12:32 PM
11,Royal Flush,Weighed a 339.8 lb blue marlin.,Saturday @12:28 PM
12,Royal Flush,Boated a blue marlin.,Saturday @12:28 PM
13,Absolut Pleasure,Lost (Wrong Species).,Saturday @12:00 PM
14,Absolut Pleasure,Hooked up,Saturday @12:00 PM
15,Absolut Pleasure,Lost (Wrong Species).,Saturday @11:35 AM
16,Absolut Pleasure,Hooked up,Saturday @11:35 AM
17,Carterican,Blue Marlin,Saturday @11:19 AM
18,Carterican,Weighed a 500.9 lb blue marlin.,Saturday @11:19 AM
19,Carterican,Boated a blue marlin.,Saturday @11:19 AM
20,Carterican,Hooked up,Saturday @11:19 AM
21,Sea I Sea,Released a sailfish.,Saturday @11:10 AM
22,Carterican,Weighed a 500.9 lb 500lb blue marlin.,Saturday @11:00 AM
23,Magic Moment,Weighed a 341.5 lb blue marlin.,Saturday @10:47 AM
24,Magic Moment,Boated a blue marlin.,Saturday @10:47 AM
25,Magic Moment,Hooked up,Saturday @10:47 AM
26,Fishin' Physician,Released a white marlin.,Saturday @10:46 AM
27,Fishin' Physician,Hooked up,Saturday @10:46 AM
28,Deep Blue,Released a blue marlin.,Saturday @10:33 AM
29,Deep Blue,Hooked up,Saturday @10:18 AM
30,Full Pull,Released a blue marlin.,Saturday @10:23 AM
31,Full Pull,Hooked up,Saturday @10:23 AM
32,VooDoo Child,Weighed a 409.1 lb blue marlin.,Saturday @10:23 AM
33,VooDoo Child,Boated a blue marlin.,Saturday @10:23 AM
34,VooDoo Child,Hooked up,Saturday @10:23 AM
35,Critter II,Released a blue marlin.,Saturday @10:22 AM
36,Critter II,Hooked up,Saturday @10:22 AM
37,Hit N Run,Released a white marlin.,Saturday @10:00 AM
38,Hit N Run,Hooked up,Saturday @10:00 AM
39,Bench Mark,Released a sailfish.,Saturday @ 9:59 AM
40,Bench Mark,Hooked up,Saturday @ 9:59 AM
41,Reel Affair,Lost (Wrong Species).,Saturday @ 9:39 AM
42,Reel Affair,Hooked up,Saturday @ 9:39 AM
43,Katherine Anne,Weighed a 388.5 lb blue marlin.,Saturday @ 9:23 AM
44,Katherine Anne,Boated a blue marlin.,Saturday @ 9:23 AM
45,Katherine Anne,Hooked up,Saturday @ 9:23 AM
46,Islander,Released a blue marlin.,Saturday @ 8:55 AM
47,Margaritaville,Lost (Pulled Hook).,Saturday @ 8:11 AM
48,Margaritaville,Hooked up,Saturday @ 8:11 AM
49,Feet First,Released a white marlin.,Saturday @ 8:11 AM
50,Sea Hound,Lost (Pulled Hook).,Saturday @ 8:06 AM
51,Sea Hound,Hooked up,Saturday @ 8:06 AM
52,Second Chance,Weighed a 29.9 lb dolphin.,Friday @ 6:37 PM
53,Stetson's Revenge,Weighed a 23.7 lb wahoo.,Friday @ 6:36 PM
54,Sandra D,Weighed a 26.3 lb wahoo.,Friday @ 6:35 PM
55,Lookin Back,Weighed a 33.6 lb dolphin.,Friday @ 6:34 PM
56,Double J,Lost (Pulled Hook).,Friday @ 2:57 PM
57,Double J,Hooked up,Friday @ 2:57 PM
58,Team Parker,Lost (Wrong Species).,Friday @ 2:53 PM
