,boat_name,activity,time
0,Wall Hanger,Weighed a 569.5 lb blue marlin.,Saturday @11:01 PM
1,Wall Hanger,Boated a blue marlin.,Saturday @11:01 PM
2,Wall Hanger,Hooked up,Saturday @10:05 AM
3,Game Plan,Weighed a 39.3 lb dolphin.,Saturday @ 6:06 PM
4,Stetson's Revenge,Weighed a 18.7 lb dolphin.,Saturday @ 5:58 PM
5,VooDoo Child,Weighed a 39.8 lb tuna.,Saturday @ 5:57 PM
6,VooDoo Child,Weighed a 32.0 lb tuna.,Saturday @ 5:55 PM
7,VooDoo Child,Weighed a 18.3 lb wahoo.,Saturday @ 5:53 PM
8,Double B,Weighed a 497.6 lb blue marlin.,Saturday @ 5:15 PM
9,Double B,Boated a blue marlin.,Saturday @ 5:15 PM
10,Double B,Hooked up,Saturday @12:24 PM
11,Low Profile,Weighed a 23.2 lb dolphin.,Saturday @ 4:45 PM
12,Reelax'n,Weighed a 14.5 lb dolphin.,Saturday @ 4:39 PM
13,Sea Toy,Weighed a 19.9 lb dolphin.,Saturday @ 4:38 PM
14,Triple S,Weighed a 429.3 lb blue marlin.,Saturday @ 4:36 PM
15,Theresa Jean,Weighed a 582.1 lb blue marlin.,Saturday @ 4:21 PM
16,Theresa Jean,Lost (Pulled Hook).,Saturday @ 4:21 PM
17,Theresa Jean,Boated a blue marlin.,Saturday @ 4:21 PM
18,Theresa Jean,Hooked up,Saturday @10:11 AM
19,Theresa Jean,Hooked up,Saturday @10:12 AM
20,Top Dog,Weighed a 914.0 lb blue marlin.,Saturday @ 3:28 PM
21,Top Dog,Boated a blue marlin.,Saturday @ 3:28 PM
22,Top Dog,Hooked up,Saturday @10:03 AM
23,The Reel McKeel,Lost (Pulled Hook).,Saturday @ 2:05 PM
24,The Reel McKeel,Hooked up,Saturday @12:42 PM
25,18 Reeler,Released a white marlin.,Saturday @ 2:00 PM
26,18 Reeler,Hooked up,Saturday @ 1:54 PM
27,Hammer Time,Lost (Wrong Species).,Saturday @ 2:00 PM
28,Hammer Time,Hooked up,Saturday @ 1:59 PM
29,Bottom Line,Lost (Pulled Hook).,Saturday @ 1:45 PM
30,Bottom Line,Hooked up,Saturday @ 1:33 PM
31,Hammer Time,Released a white marlin.,Saturday @ 1:43 PM
32,Hammer Time,Hooked up,Saturday @ 1:39 PM
33,Hatteras Fever II,Lost (Pulled Hook).,Saturday @ 1:25 PM
34,Hatteras Fever II,Hooked up,Saturday @ 1:25 PM
35,Goombay,Released a blue marlin.,Saturday @ 1:21 PM
36,Goombay,Hooked up,Saturday @ 1:06 PM
