,boat_name,activity,time
0,Maggie,Released a blue marlin.,Saturday @ 1:34 PM
1,Maggie,Hooked up,Saturday @12:24 PM
2,Orrsman,Released a white marlin.,Saturday @ 1:33 PM
3,Orrsman,Hooked up,Saturday @ 1:33 PM
4,Fowl Hooked,Released a blue marlin.,Saturday @12:57 PM
5,Fowl Hooked,Hooked up,Saturday @12:57 PM
6,Micabe,Rance Jennings released a white marlin.,Saturday @11:36 AM
7,Magic Moment,Released a blue marlin.,Saturday @11:31 AM
8,Magic Moment,Hooked up,Saturday @11:31 AM
9,Peggy,Released a white marlin.,Saturday @11:29 AM
10,Bench Mark,Released a blue marlin.,Saturday @11:24 AM
11,Predator,Released a blue marlin.,Saturday @11:09 AM
12,Rolling Stone,Released a white marlin.,Saturday @10:44 AM
13,Gamekeeper,Released a blue marlin.,Saturday @10:24 AM
14,Gamekeeper,Hooked up,Saturday @10:12 AM
15,Peggy,Released a blue marlin.,Saturday @10:11 AM
16,Peggy,Hooked up,Saturday @ 9:58 AM
17,Drillin & Billin,Released a white marlin.,Saturday @ 9:41 AM
18,Fender Bender,Released a blue marlin.,Saturday @ 9:27 AM
19,Magic Moment,Released a blue marlin.,Saturday @ 9:25 AM
20,Honey Hush,Released a blue marlin.,Saturday @ 9:14 AM
21,Honey Hush,Hooked up,Saturday @ 8:55 AM
22,Sails Pitch,Released a blue marlin.,Saturday @ 9:13 AM
23,Sails Pitch,Hooked up,Saturday @ 8:28 AM
24,J & B,Released a blue marlin.,Saturday @ 9:13 AM
25,J & B,Hooked up,Saturday @ 8:23 AM
26,Outnumbered,Released a blue marlin.,Saturday @ 9:06 AM
27,Outnumbered,Hooked up,Saturday @ 8:55 AM
28,Magic Moment,Released a blue marlin.,Saturday @ 8:55 AM
29,Magic Moment,Hooked up,Saturday @ 8:34 AM
30,Ashley Lauren,Released a blue marlin.,Saturday @ 8:54 AM
31,Ashley Lauren,Hooked up,Saturday @ 8:43 AM
32,Bill Collector,Released a blue marlin.,Saturday @ 8:48 AM
33,Bill Collector,Hooked up,Saturday @ 8:15 AM
34,Whitecaps,Released a blue marlin.,Saturday @ 8:44 AM
35,Sea Toy,Released a sailfish.,Saturday @ 8:44 AM
36,Wall Hanger,Released a blue marlin.,Saturday @ 8:14 AM
37,Wall Hanger,Hooked up,Saturday @ 8:04 AM
38,Gret’s Three J’s,Released a blue marlin.,Friday @ 3:09 PM
39,Gret’s Three J’s,Hooked up,Friday @11:36 AM
40,Low Profile,Released a blue marlin.,Friday @ 2:30 PM
41,Low Profile,Lost (Pulled Hook).,Friday @ 2:30 PM
42,Low Profile,Hooked up,Friday @ 2:02 PM
43,Electric Bill,Released a blue marlin.,Friday @ 2:23 PM
44,Electric Bill,Hooked up,Friday @ 2:03 PM
45,Justified,Released a sailfish.,Friday @ 2:00 PM
46,C-Escape,Released a blue marlin.,Friday @ 1:57 PM
47,C-Escape,Hooked up,Friday @ 1:28 PM
48,First Look,Released a blue marlin.,Friday @ 1:43 PM
49,Chunda,Released a blue marlin.,Friday @ 1:24 PM
50,Chunda,Hooked up,Friday @ 1:14 PM
