,boat_name,activity,time
0,Carterican,Chas Vaughn weighed a 21.0 lb dolphin,Saturday @ 6:17 PM
1,Sensation,Weighed a 15.9 lb dolphin,Saturday @ 6:16 PM
2,Buena Suerte,Weighed a 6.8 lb dolphin,Saturday @ 6:15 PM
3,Mutiny II,Weighed a 15.7 lb dolphin,Saturday @ 6:14 PM
4,The Buyout,Malcolm Waters weighed a 7.5 lb dolphin,Saturday @ 6:14 PM
5,Due South,Weighed a 7.5 lb dolphin,Saturday @ 6:13 PM
6,The General,Weighed a 11.5 lb dolphin,Saturday @ 6:12 PM
7,The Buyout,Lost (Pulled Hook).,Saturday @ 1:47 PM
8,The Buyout,Hooked up,Saturday @ 1:47 PM
9,Inspiration,Released a blue marlin.,Saturday @12:13 PM
10,Hammer Time,Released a blue marlin.,Saturday @10:49 AM
11,Hammer Time,Hooked up,Saturday @10:39 AM
12,Sea Wolf,Released a daily 1st release.,Saturday @ 9:28 AM
13,Sea Wolf,Released a blue marlin.,Saturday @ 9:27 AM
14,Sea Wolf,Hooked up,Saturday @ 8:55 AM
15,Top Level,Weighed a 13.2 lb dolphin,Friday @ 7:27 PM
16,Post Call,Weighed a 20.5 lb dolphin,Friday @ 7:25 PM
17,Simple Mann,Owen Techet weighed a 20.0 lb dolphin,Friday @ 7:24 PM
18,Moon Dancer,Weighed a 15.9 lb dolphin,Friday @ 7:24 PM
19,Sea Wolf,Weighed a 14.7 lb dolphin,Friday @ 7:23 PM
20,Quote Boat,,Friday @ 7:22 PM
21,Stetson's Revenge,Weighed a 21.0 lb dolphin,Friday @ 7:22 PM
22,WideSpread,Weighed a 656.5 lb blue marlin,Friday @ 6:13 PM
23,WideSpread,Boated a blue marlin,Friday @ 6:13 PM
24,WideSpread,Hooked up,Friday @ 2:23 PM
25,Scouts Out,John  Blue weighed a 16.9 lb dolphin,Friday @ 5:45 PM
26,Agent Orange,Weighed a 13.0 lb dolphin,Friday @ 5:44 PM
27,Agent Orange,Weighed a 22.4 lb dolphin,Friday @ 5:43 PM
28,Carolina Time,Luke McCoy weighed a 15.9 lb dolphin,Friday @ 5:42 PM
29,Memories,Weighed a 13.8 lb dolphin,Friday @ 5:42 PM
30,Drillin & Billin,Weighed a 14.2 lb dolphin,Friday @ 5:41 PM
31,Paved For,Weighed a 14.9 lb dolphin,Friday @ 5:41 PM
32,Watertight,Weighed a 19.2 lb dolphin,Friday @ 5:40 PM
33,Sashimi,Morgan Boyd weighed a 18.3 lb dolphin,Friday @ 5:39 PM
34,Reelentless,Tyler  Spain weighed a 20.0 lb dolphin,Friday @ 5:34 PM
35,TEAM REE,Nolan Wilder weighed a 11.3 lb dolphin,Friday @ 5:33 PM
36,Post Call,Lost (Wrong Species).,Friday @ 4:00 PM
37,Post Call,Hooked up,Friday @ 2:42 PM
38,Game Changer,Released a blue marlin.,Friday @ 3:38 PM
39,Game Changer,Hooked up,Friday @ 2:54 PM
40,Reel E Bugging,Lost (Pulled Hook).,Friday @ 3:15 PM
41,Reel E Bugging,Hooked up,Friday @ 2:58 PM
42,BAM,Released a blue marlin.,Friday @ 3:02 PM
43,BAM,Hooked up,Friday @ 2:55 PM
44,Lo Que Sea,Released a blue marlin.,Friday @ 3:01 PM
45,Lo Que Sea,Hooked up,Friday @ 1:34 PM
